N,M,depol_probability,del_err,std_del_err,type
5,5,0.5137352047641086,0.005787229241390285,0.000671378402692915,CNOT
5,5,0.5753702061424232,0.0056797275735622635,0.0007305052042285405,CNOT
5,5,0.6437126513613006,0.005679729883065815,0.000740915170618994,CNOT
5,5,0.7194924796089978,0.00558995529810764,0.0007112922183443143,CNOT
5,5,0.8035190658813932,0.005698561068833838,0.0007548494046433151,CNOT
5,5,0.8966898656028465,0.005707117491239114,0.0007147604902336249,CNOT
5,5,1.0,0.005711038370618561,0.0007649994581194831,CNOT
5,0,0.0,0.0011125966045407206,0.00010900737368472862,Single-Qubit
5,0,0.005727644230309394,0.0010783186754308688,0.00014290606454062183,Single-Qubit
5,0,0.012078600720769734,0.0010308502164494491,0.000148350808435555,Single-Qubit
5,0,0.019120701577921152,0.0010582887297675356,0.000131125119501863,Single-Qubit
5,0,0.026929160753603264,0.0010833665214373762,9.631399594938907e-05,Single-Qubit
5,0,0.035587377376044206,0.0010482501875201835,0.0001297603701871294,Single-Qubit
5,0,0.04518782650364872,0.0010625562789270896,0.00015143870353265677,Single-Qubit
5,0,0.05583304681528118,0.0011071150338794974,0.000155176999825138,Single-Qubit
5,0,0.06763673578618123,0.0010989086685249713,0.00017551824788998124,Single-Qubit
5,0,0.0807249640466616,0.0010697267388464847,0.00014549748765221222,Single-Qubit
5,0,0.09523752189368309,0.0010593242512320527,0.0001437384520059878,Single-Qubit
5,0,0.11132941233687553,0.0010905446307761762,0.00013887861464416293,Single-Qubit
5,0,0.12917250662565072,0.0010698102169622084,0.0001586445702807905,Single-Qubit
5,0,0.14895737993945132,0.00110884624651654,0.00015140318722746366,Single-Qubit
5,0,0.17089534684743254,0.0009793540556970518,0.00014145275106411395,Single-Qubit
5,0,0.19522071827753298,0.0010570228232254114,0.0001738069286503436,Single-Qubit
5,0,0.22219330410074656,0.0010864034393458651,0.00016001559254453504,Single-Qubit
5,0,0.2521011880597303,0.0010631034663139943,0.00014938669489265356,Single-Qubit
5,0,0.28526380467968454,0.0010767137074417414,0.00014058695176251092,Single-Qubit
5,0,0.3220353510247982,0.001034317671572788,0.00012514232589119865,Single-Qubit
5,0,0.36280856973991177,0.0010360917274570638,0.00015161207820119042,Single-Qubit
5,0,0.4080189437825957,0.0010778735996865743,0.00010371429687561378,Single-Qubit
5,0,0.45814934764795806,0.0011487928262302496,0.00014689607229354066,Single-Qubit
5,0,0.5137352047641086,0.0010349412616567554,0.00012498144926387353,Single-Qubit
5,0,0.5753702061424232,0.0011154455700858592,0.0001446619934458189,Single-Qubit
5,0,0.6437126513613006,0.0010783678398751475,0.00015285064444075532,Single-Qubit
